VehicleID,VehicleName,CalendarID,VehicleAdress,LicencePlate,ExtHight,ExtLength,ExtLarge,IntHight,IntLength,IntLarge
N01,Opel Vivaro (Losone),noleggiosemplice23@gmail.com,"Via dei Patrizi 1, 6616 Losone - Posteggio No 2",TI 148877,"1,97","5,2","2,24","1,38","2,8",1.27 / 1.69
N02 Renault Master (Lugano),,e48a242e31251e913222eec57efddba56d45e1efaa8346a95aa4c001699f4f5d@group.calendar.google.com,,TI 242255,,,,,,
N03,Peugeot Boxer (Bellinzona),nijfu8k23bns6ml5rb0f7hko5o@group.calendar.google.com,"Via Franco Zorzi 39, 6500 Bellinzona - Posteggio No 24",TI 157778,,,,,,
N04,Fiat Ducato (Locarno),d4bcd20ca384fcbbf31fc901401281942d8edbaecec4c24604c917c6f71bc43e@group.calendar.google.com,"Via Alberto Franzoni 13-7, 6600 Locarno (FART)",TI 255700,,,,,,
N05 Citroen Boxer (Quartino),,25f71a841f7ac3252fc9f1ced1870596d23a1842ae48ed39ede7f3bc01e819ca@group.calendar.google.com,"Via Monte Ceneri 57, 6572 Quartino (Rist.. Nuova Pergola)",,,,,,,
N06,Citroen Jumper (Minusio),8c2a425fa75bf5230dd2eee2a5cbedfcfa01279e943b5817efa25dfb359d8920@group.calendar.google.com,"Via Rinaldo Simen 96, 6648 Minusio",TI 238008,,,,,,
N07,Renault Trafic (Lugano),aa19b3fbefcdee63ffa1b724e3a2f4c65ed49949db2e6cf3d40e13924daea94b@group.calendar.google.com,"Via Sonvico 8, 6952 Canobbio - Posteggio No 18",TI 242255,,,,,,
N08,Renault Trafic (Lugano),6e36e87a89e5ef58137cf3c2475226dbb5c5a8aec3a60bce80e63fc72552f4b5@group.calendar.google.com,"Via Sonvico 8, 6952 Canobbio - Posteggio No 19",TI 177379,,,,,,
N09,Renault Trafic (Caslano),9535c25ccd3adc5dc5a908aa9055cd8893e547657d6257f0a0232d50214c8c99@group.calendar.google.com,"Str. Cantonale 49, 6987 Caslano - Posteggio tutto a sinistra",TI 271773,,,,,,
N10,Citroen Jumper (Losone),a97fc8429fc9a143475e0244ad922ce0f6dfb025a88dd68baadd116ef4f0b5cc@group.calendar.google.com,"Via dei Patrizi 1, 6616 Losone - Posteggio No 1",TI 169979,,,,,,
N11,Citroen Jumper L1H1 (Losone),0e9a455f793914439c9ae0e5ef91790038aa8fc295e71cfacbc3b8f128def8fa@group.calendar.google.com,"Via dei Patrizi 1, 6616 Losone - Posteggio No 3",TI 199970,,,,,,
